Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
277,"Scottish economist Adam Smith�s The Wealth of Nations heralded�or caused�the market-based economic system that has increasingly become the norm since the book�s publication in 1776. Some say that Smith�s magnum opus was to economics as Newton�s Principia Mathematica was to physics or as Darwin�s On the Origin of Species was for biology. 5 Certainly the book made its impact in the early United States. 1776 predates wide usage of the term capitalism, now commonly associated with Smith, and which Smith refers to as a �system of natural liberty.� Smith presented what we today consider Economics 101: supply and demand, and the importance of specialization and the division of labor. He also posited that individuals pursuing their own self-interest could 10 unintentionally create a more just society by so doing�an idea sometimes referred to as the �Invisible Hand.� Even Smith�s critics do not deny the book�s immense influence. Murray Rothbard levels the criticism that The Wealth of Nations, in fact, eclipsed public knowledge of all economists�better ones, he says� before Smith. Consider each of the answer choices separately and indicate all that apply. Which of the following would be an example of the �Invisible Hand� as described by Adam Smith?",A group of moviegoers who are able to get cheaper tickets for a film by buying their tickets as a group.,A society in which the division of labor frees certain people to pursue careers that might seem impractical in a non-capitalist society.,"A university in which classes are first-come, first-served, thereby equitably distributing courses according to the passion and dedication of students.","A stock exchange in which each trader acts according to a different set of information, such that certain commodities become hyped and their prices overinflated.","A university in which classes are first-come, first-served, thereby equitably distributing courses according to the passion and dedication of students.",GRE,Hard
278,"By the third quarter, the opposing team had lost the upper hand entirely, the game becoming an utter _________, a fact made most evident, perhaps, by the escalating jeers coming from the nearby bleachers.",forgery,rout,fallacy,infirmity,rout,GRE,Hard
279,Central to the challenger�s platform was the argument that the incumbent had ultimately ________ the agreements he had initially championed during his first stint in office.,fielded,mustered up,honed,abrogated,abrogated,GRE,Hard
280,"A 6-sided cube has sides numbered 1 through 6. If the cube is rolled twice, what is the probability that the sum of the two rolls is equal to 8?",9-Jan,8-Jan,May-36,6-Jan,May-36,GRE,Vhard
281,"A coin with heads on one side and tails on the other has a 1/2 probability of landing on heads. If the coin is flipped 5 times, how many distinct outcomes are possible if the last flip must be heads? Outcomes are distinct if they do not contain exactly the same results in exactly the same order.",18,17,16,20,16,GRE,Vhard
282,"Five students, Adnan, Beth, Carol, Dan, and Edmund are to be arranged in a line. How many such arrangements are possible if Beth is not allowed to stand next to Dan?",24,48,72,96,72,GRE,Vhard
283,"A polygon has 12 edges. How many different diagonals does it have? (A diagonal is a line drawn from one vertex to any other vertex inside the given shape. This line cannot touch or cross any of the edges of the shape. For example, a triangle has zero diagonals and a rectangle has two.)",54,66,108,132,54,GRE,Vhard
284,2 foot by 2 foot by 2 foot solid cube is cut into 2 inch by 2 inch by 4 inch rectangular solids. What is the ratio of the total surface area of all the resulting smaller rectangular solids to the surface area of the original cube?,2:01,4:!,6:01,10:01,10:01,GRE,Vhard
285,"If a right circular cylinder�s radius is halved and its height doubled, by what percent will the volume increase or decrease?",50% decrease,no change,25% increase,50% increase,50% decrease,GRE,Vhard
286,"A triangle has sides of 8, m, and n. Quantity A = |m - n| Quantity B=8",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Vhard
287,The sum of four consecutive integers is -2 Quantity A= The smallest of the four integers Quantity B=-2,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Vhard
288,"Working alone at their respective constant rates, Audrey can complete a certain job in 4 hours, while Ferris can do the same job in 3 hours. Audrey and Ferris worked together on the job and completed it in 2 hours, but while Audrey worked this entire time, Ferris worked for some of the time and took 3 breaks of equal length. How many minutes long was each of Ferris�s breaks?",5,10,15,20,10,GRE,Vhard
289,"Working continuously 24 hours a day, a factory bottles Soda Q at a rate of 500 liters per second and Soda V at a rate of 300 liters per second. If twice as many bottles of Soda V as of Soda Q are filled at the factory each day, what is the ratio of the volume of a bottle of Soda Q to a bottle of Soda V?",10-Mar,6-May,5-Jun,3-Oct,3-Oct,GRE,Vhard
290,"300 test results are integers ranging from 15 to 75, inclusive. Dominick�s result is clearly in the 80th percentile of those results, not the 79th or the 81st. Quantity A = Number of other test results in the same percentile as Dominick�s Quantity B= Maximum number of other test-takers with the same result as Dominick",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Vhard
291,"The outcome of a standardized test is an integer between 151 and 200, inclusive. The percentiles of 400 test scores are calculated, and the scores are divided into corresponding percentile groups. Quantity A = Minimum number of integers between 151 and 200, inclusive, that include more than one percentile group Quantity B=Minimum number of percentile groups that correspond to a score of 200",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity A is greater,GRE,Vhard
292,The probability that Gary will eat eggs for breakfast on any given day is 3/7. The probability that Gary will eat cereal for breakfast on any given day is 4/7. Gary never has both eggs and cereal for breakfast on the same day. Quantity A= Probability that Gary eats eggs or cereal for breakfast on a particular day Quantity B=1,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Vhard
293,The probability that Maria will eat breakfast on any given day is 0.5. The probability that Maria will wear a sweater on any given day is 0.3. The two probabilities are independent of each other. Quantity A = The probability that Maria eats breakfast or wears a sweater Quantity B=0.8,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Vhard
294,A trapezoid has an area of 42 and a height that is less than or equal to 6. Quantity A = The height of the trapezoid.Quantity B= The length of the longer base of the trapezoid,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Vhard
295,A 1 meter by 1 meter by 1 meter sheet of paper is to be cut into 4 centimeter by 5 centimeter rectangles. How many such rectangles can be cut from the sheet of paper?,504,450,500,305,500,GRE,Vhard
296,"A 10 foot ladder leans against a vertical wall and forms a 60 degree angle with the floor. Assuming the ground below the ladder is perfectly horizontal, how far above the ground is the top of the ladder?",5ft,(5*1.732)ft,10ft,9ft,(5*1.732)ft,GRE,Vhard
297,"The organizer of the university�s series of public debates commented that it is difficult to find a suitable adjudicator for debates on certain controversial matters, as there exist topics in regards to which no one is _________.",pellucid,disinterested,jocular,subjective,disinterested,GRE,Vhard
298,"It was apparent to everyone present that upon receiving the medal, a decoration long past due, the superannuated veteran adopted a mood of exaggerated hilarity, almost as if the unexpected resolution of a lifetime of injustice came as a _________ surprise.",prodigal,plangent,risible,parsimonious,risible,GRE,Vhard
299,"Despite their diminutive stature, horse jockeys are far from _________ bunch: many would all-too-happily allow minor umbrage to escalate to barroom brawl.",a stygian,a farcical,an effete,an evocative,an effete,GRE,Vhard
300,"The apparent simplicity of a cup of coffee _________ the dizzying number of hours of toil required to produce it, from months of cultivation of the bean tree to painstaking refinement in highly sophisticated machinery.",redresses,confirms,belies,fosters,belies,GRE,Vhard
301,The representative�s violent ascension to prominence began with a __________ attack on the comparatively conciliatory leaders of his own party.,truculent,partisan,biased,imperious,truculent,GRE,Vhard
302,Even those accustomed to the austere beauty of mathematics may be daunted by the __________ with which Bourbaki conducts his proofs.,celerity,diligence,asperity,rigor,rigor,GRE,Vhard
303,"Even from a distance, the man could see that the tornado had _____________ from the site all but the most basic elements of his childhood home; nothing but traces of the original foundations remained.",tethered,extirpated,effaced,hallowed,effaced,GRE,Vhard
304,"Even from a distance, the man could see that the tornado had _____________ from the site all but the most basic elements of his childhood home; nothing but traces of the original foundations remained.",rout,forgery,fallacy,infirmity,rout,GRE,Vhard
305,"The ___________ between parties is rapidly becoming insurmountable, as a lack of faith on both sides creates conditions where issues once considered beyond the pale of dispute are becoming subject to contention.",accord,rift,travesty,piety,rift,GRE,Vhard
306,"__________ though the family now may be, they continue to carry themselves in public with an air befitting their aristocratic heritage.",Impecunious,idyllic,glamorous,bucolic,Impecunious,GRE,Vhard
307,"Lie detector tests attempt to discern _________ by measuring physiological responses, including heart rate, blood pressure, and respiratory rate.",tenacity,precocity,mendacity,urbanity,mendacity,GRE,Vhard
308,The golden crown�s dazzling ____________ is tarnished only by its torrid and bloody history.,variance,refulgence,tumescence,evanescence,refulgence,GRE,Vhard
309,The judge�s keen eye for sussing out the pretension of the lawyers in her courtroom was surpassed only by the _________ wit with which she castigated them for it.,sedulous,mordant,obtuse,assiduous,mordant,GRE,Vhard
310,"The amount of self-abasement with which the inmate __________ the probation panel to be set free verged on the humiliating; nevertheless, the judges remained unmoved and he was ultimately sent back to his cell to serve another three years.",chided,snubbed,drummed,supplicated,supplicated,GRE,Vhard
311,Find the number of school students who received Dr APJ Abdul Kalam IGNite awards 2015 presented by President Pranab Mukharjee?,25,20,40,35,40,cur,easy
312,Which of the following currency is included into its elite reserve currency basket on 30 Nov 2015 by International Monetary Fund(IMF)?,China - Yuan,Japan - Yen,French - Franc,Denmark � Danish Krone,China - Yuan,cur,easy
313,Chinese currency Yuan is also known as,Endaka,Guineen,Renminbi,Abbasi,Renminbi,cur,easy
314,Name the focus area of Mission innovation that was launched by world leaders on 30 Nov 2015 in Paris?,Clean energy,Natural Disasters,Saving the atolls,None of these,Clean energy,cur,easy
315,The first country in the world to give approval to use vaccine against dengue fever is,France,Paris,Mexico,Russia,Mexico,cur,easy
316,Who was awarded with an honorary lifetime membership of Marylebone Cricket Club(MCC) on 9 Dec 2015?,Mahela Jayawardene,Lasith Malinga,Dinesh Chandimal,Angelo Mathews,Mahela Jayawardene,cur,easy
317,Which country became the 10th member to ratify Articles of Agreement of Asian Infrastructure Investment Bank?,Laos,Luxembourg,Lebanon,Libya,Luxembourg,cur,easy
318,Union Cabinet approved 4000 crore rupees proposal for _____ in India.,Textile industry,Automobile industry,Shipbuilding industry,Steel industry,Shipbuilding industry,cur,easy
319,"On 8 Dec 2015, Asian Economic Integration Report 2015 was released by _____",Asian Development Bank (ADB),African Development Bank (AfDB),Caribbean Development Bank (CDB),Development Bank of Latin America (CAF),Asian Development Bank (ADB),cur,easy
320,"Find the number of inland waterways proposed to be declared as the national waterways through amendments in the National Waterways Bill, 2015, was approved by the Union Cabinet.",100,206,106,96,106,cur,easy
321,The first European country to sign the MoU on establishment of Nalanda University is _____.,Russia,Portugal,Spain,Poland,Portugal,cur,easy
322,Uttar Pradesh Government launched mobile app called mSehat for _____.,Farmers,health workers,Engineers,Doctors,health workers,cur,easy
323,World Food Day is celebrated on ______.,16-Oct,13-Oct,10-Oct,12-Oct,16-Oct,cur,easy
324,Which government has announced New Integrated Licensing Policy 2015?,Maharashtra,Haryana,Delhi,Karnataka,Haryana,cur,easy
325,______ became the first person of Indian Origin (PIO) to be elected as the mayor of a major city in Germany.,S R Nathan,Navanethem Pillay,Rohit Gupta,Ashok-Alexander Sridharan,Ashok-Alexander Sridharan,cur,easy
326,The first Indian who won Silver Medal in Archery World Cup Final is ____.,Rajat Chauhan,Abhishek Verma,Sandeep Kumar,None of these,Abhishek Verma,cur,easy
327,Who has launched its parent company called Alphabet Inc on 10 August 2015?,Google,Microsoft,Oracle,Dell,Google,cur,easy
328,World Bio-Fuel Day is on ____.,9-Aug-15,10-Aug-15,20-Aug-15,None of these,10-Aug-15,cur,easy
329,The second Tennis player to be recommended for Rajiv Gandhi Ratna is _____,Leander Paes,Mahesh Bhupathi,Sania Mirza,Somdev Devvarman,Sania Mirza,cur,easy
330,"On 12 August 2015, China and Pakistan signed 20 agreements worth _____ US dollars to implement CPEC.",1.2 billion,1.4 billion,2.5 billion,1.6 billion,1.6 billion,cur,easy
331,Which of following was not recommendation of Motilal Nehru Committee (1928),Establishment of Federal Government,Elected Govt. in Provinces,Establishment of Dyarchy system,Provision of Civil Liberties,Establishment of Dyarchy system,cur,easy
332,"In which of following act, amount of one lakh rupees was earmarked for education?",Chartered Act 1833,Chartered Act 1813,Chartered Act 1856,Chartered Act 1793,Chartered Act 1813,cur,easy
333,Which of following statement is incorrect about the 1857 Revolt?,Kunwar Singh revolted from Lucknow,This Revolt could not attract Masses,Greased Cartridge was immediate cause of revolt,Bahadur Shah Zafar was proclaimed as emperor of India in the initial stage of revolt,Kunwar Singh revolted from Lucknow,cur,easy
334,Who executed Sikh Guru Arjun Dev for supporting Khusrau?,Shahjahan,Jahangir,Akbar,Babar,Jahangir,cur,easy
335,Which of following is not correct about the religious policies of Aurangzeb?,Aurangzeb reimposed Jizia� tax,He promoted the festivals like Diwali and Navroz,He abolished Kalimas,He also abolished music,He promoted the festivals like Diwali and Navroz,cur,easy
336,Which of following names were related to the Nirguna-Bhakti?,Adi Shankara,Kabir,Guru Nanak,All of the above,All of the above,cur,easy
337,Which one of following regions does the Bushmen tribe belong to?,Kalahari Desert,Siberia,Arabian Desert,Canadian Tundra,Kalahari Desert,cur,easy
338,) Consider the following statements: I) Lowermost layer of atmosphere is called Troposphere II) Height of Troposphere is more at pole and lesser near the equator III) Height of Troposphere is more at equator and lesser near the pole Which of above statement is / are true about the Troposphere?,I only,I and III,All of the above,1and II,I and III,cur,easy
339,Which of following statement is correct about the hot and cold currents?,Area where the hot and cold currents meet is very productive site,Area where the hot and cold current meet is very unproductive.,All warm current emerges from the poles,All of the above,Area where the hot and cold currents meet is very productive site,cur,easy
340,Which of following statement is true about the Ecotone?,It is meeting place of two different eco systems,It is meeting place of two same eco systems,Density of species is very low here,All of the above,It is meeting place of two different eco systems,cur,easy
341,Consider following statement about the estuary I) Estuary is place where the river fresh waster meets with ocean water II) This area is highly productive III) This area is highly unproductive IV) All of the above Which of above the statements is/are true?,I) only,II) only,I) and II),III),I) and II),cur,easy
342,Which of following statement is incorrect about the Biosphere?,"Biosphere is combination of lithosphere, hydrosphere and Atmosphere",Biosphere is missing at extreme of north and south pole,Organisms are uniformly present in Biosphere,All of the above,Organisms are uniformly present in Biosphere,cur,easy
343,The Preamble of the Constitution of India was first amended by,Seventh Amendment Act,Eleventh Amendment Act,Forty Second Amendment Act,Forty Fourth Amendment Act,Forty Second Amendment Act,cur,easy
344,The President of India can be removed by the process of impeachment on the grounds of,Violation of the Constitution,Proved in-capacity,On Corruption charges,None of the Above,Violation of the Constitution,cur,easy
345,Which of the Ministries deals with the Table of Precedence,Ministry of Personnel,Ministry of Home,Prime Minister�s Office,None of the Above,Ministry of Home,cur,easy
346,Handbook of Statistics 2015 was released by ____.,UNDAF,UNIDO,UNDP,UNCTAD,UNCTAD,cur,med
347,Union Government and NTC signed MoU for establishing a Technology Centre at _____.,Jaipur,Kanpur,Gujarat,Maharashtra,Kanpur,cur,med
348,The second World Internet Conference will be held from 16 to 18 Dec 2015 in _____.,"Cairo, Egypt","Paris, France","Berlin, Germany","Wuzhen, China","Wuzhen, China",cur,med
349,Human Rights Day was observed across the world on ____.,10-Dec,8-Dec,10-Nov,11-Dec,10-Dec,cur,med
350,Three-day International Tourism exhibition were held in ____ from 11th to 13th December 2015,"Bangalore, Karnataka","Cochin, Kerala","Madurai, Tamil Nadu","Hyderabad, Andhra Pradesh","Madurai, Tamil Nadu",cur,med
351,International Day for the Eradication of Poverty is observed on ______,16-Oct,12-Oct,17-Oct,10-Oct,17-Oct,cur,med
352,World Statistics Day is on _____,20-Oct,15-Oct,17-Oct,12-Oct,20-Oct,cur,med
353,Name the city where Global Maternal Newborn Health Conference 2015 was held.,Malaybalay,Mexico,Manduluyong,Mandaue,Mexico,cur,med
354,World Polio Day was observed on ____.,25-Sep,23-Oct,24-Oct,25-Oct,24-Oct,cur,med
355,Which government has signed two memorandums with Japan for development of infrastructure?,Karnataka,Andhra Pradesh,Madhya Pradesh,Maharashtra,Andhra Pradesh,cur,med
356,India's first AC double-decker Shatabdi train will soon run between ____.,Mumbai - Goa,Delhi - Mumbai,Agra - Mumbai,Goa - Kerala,Mumbai - Goa,cur,med
357,Election Commissioner of India is _____.,Nasim Zaidi,V. S. Sampath,Harishankar Brahma,Om Prakash Rawat,Nasim Zaidi,cur,med
358,2015 US - India Cyber Dialogue was held in _____.,Newyork,"Washington, DC",Los Angeles,Chicago,"Washington, DC",cur,med
359,The first Indian shuttler to win silver medal in World Badminton Championship is _____.,Leander Paes,Mahesh Bhupathi,Saina Nehwal,Rohan Bopanna,Saina Nehwal,cur,med
360,Consider the following statement about the Indus Valley Civilization? I. Barley has been found from one of Indus Valley Civilization sites II. People of Indus Valley Civilization used to put on the bangles. III. People of Indus Valley Civilization used to trade with other countries Which of above statement is/ are true about the Indus Valley Civilization?,I Only,II Only,"I , II and III",III Only,"I , II and III",cur,med
361,Which of following statement is incorrect about the Indus Valley Civilization?,People of Indus Valley Civilization used to practice agriculture,No site of this civilization has been found in Haryana region,"Oxen, Buffaloes and goats were domesticated animals in Indus Valley Civilization",All of the above,No site of this civilization has been found in Haryana region,cur,med
362,Which one was the biggest industrial site of Harappa Civilization?,Chahnudaro,Ropar,Lothal,Dholavira,Chahnudaro,cur,med
363,Which of following statement is correct about the Vernacular Press Act?,Lord Canning was behind the creation of this act,It was created by Lytton and repealed by the Lord Ripon,Vernacular Press Act was passed in year 1872,All of the above,It was created by Lytton and repealed by the Lord Ripon,cur,med
364,Which of the following is not true of the Cabinet Mission plan ?,It rejected the creation of a separate State of Pakistan,It recognized India�s right to secede from the Commonwealth,All members of the Indian Cabinet are to be Indians,It gave scope to the communal representation,It rejected the creation of a separate State of Pakistan,cur,med
365,The Nehru-Liaqat Pact between India and Pakistan was signed to solve the problem of:,Minorities,The accession of the Princely States,The Border Issues,Foreign Relations,Minorities,cur,med
366,Who constructed Humayun�s tomb in Delhi?,Salima Begam,Khurram,Amir khusrau,None of the above,Salima Begam,cur,med
367,Consider the following statements about Ibn-Batuta I) He was traveler from Moracco II) He visited the court of Tughlaq III) He wrote Kitab-i-Rehala which of above statement is/ are true?,I Only,II only,"I, II and III",II and III,"I, II and III",cur,med
368,"Feroz Shah Tughlaq established Diwan �i- Khairat, it was",It was employment bureau for provding employent to Muslim Youth . It also used to conduct free of cost marriage,It was assembly of nobles to discuss the religious affairs,It was Spy department,None of the above,It was employment bureau for provding employent to Muslim Youth . It also used to conduct free of cost marriage,cur,med
369,Who was the Governor General of India during the Sepoy Mutiny?,Lord Canning,Lord Dalhousie,Lord Hardings,Lord Lytton,Lord Canning,cur,med
370,Who among the following Governor Generals created the Covenanted Civil Service of India which later came to be known as the Indian Civil Service?,Warren Hastings,Wellesley,Cornwallis,William Bentinck,Cornwallis,cur,med
371,"Consider the following statements: 1) Warren Hastings was the first Governor General who established a regular police force in India on the British Pattern. 2) A Supreme Court was established at Calcutta by the Regulating Act, 1773. 3) The Indian Penal Code came into effect in the year 1860. Which of the statements given above are correct?",Only 1 and 2�� ��� ��� �,Only 2 and 3,Only 1 and 3,All of the above,Only 1 and 3,cur,med
372,Israel has common border with,"Lebanon, Syria, Jordon and Egypt","Lebanon, Syria, Turkey and Jordan","Cyprus, Turkey, Jordon and Egypt","Turkey, Syria, Iraq and Yemen","Lebanon, Syria, Jordon and Egypt",cur,med
373,"Identify the place which is surrounded by Seshchalam hills at its north, Melagiris range at its south, Baba Budan hills at west and Nagari hills at its east",Kaveri falls,Hogennakkal falls,Banglore Plateau,Nandyal Valley,Banglore Plateau,cur,med
374,Which of the following set of rivers which flow to west coast of Karnataka?,"Kalindi, Redti, Shravati, Sita","Chanora, Manavi, Kalindi, Redti","Netravati, Kumarraadhar, Pavasuini, Kabana","Kalindi, Sita, Pulantod , Gayatri","Kalindi, Redti, Shravati, Sita",cur,med
375,Which of the following do not belong to eastern coast of India?,Point Calimere,False Divi Point,Palmyra Point�� �,Karwar Way,Karwar Way,cur,med
376,What is the carbon credit?,It is the difference between the carbon emission allowed and actually emitted carbon,It is the loan amount by IMF for reducing pollution,It is loan given to poor people for buying Modern Stoves,All of the above,It is the difference between the carbon emission allowed and actually emitted carbon,cur,med
377,What is the meaning of coral bleaching?,Paling of coral color or decline in zooxanthellae due to climate change,Impacts of excessive sea trade on fishing industry,Both a and b,None of the above,Paling of coral color or decline in zooxanthellae due to climate change,cur,med
378,"Relative contributions of CO2, CH4, CFCs and N2O towards global warming are:","50 %, 30 %, 10 % , and 10 % respectively","60%, 20%, 14%, and 6% respectively","40 %, 30%, 20% and 10% respectively",None of the above,"60%, 20%, 14%, and 6% respectively",cur,med
379,"According to Suresh Tendulkar Report, What percentage of population was under the poverty Line in 2004-05?",36%,37.20%,40.20%,33%,37.20%,cur,med
380,Which of following statement is true about the Primary deficit?,It is difference between Revenue receipts and Revenue Expenditure,It is difference between capital receipts and Interest Payment,It is difference between the Fiscal Deficit and Interest Payment,It is addition of Fiscal Deficit and Interest Payment,It is difference between the Fiscal Deficit and Interest Payment,cur,med
381,Who introduced Zamindari system in India?,Lord Carnwallis,Lord Wlliam Bentinck,Lord Dalhousie,Lord Canning,Lord Carnwallis,cur,med
382,Who operates the monetary policy in India?,Ministry of Finance,Reserve Bank of India (RBI),Security and Exchange Board of India,All of above,Reserve Bank of India (RBI),cur,med
383,Global Illicit Financial Flows Report 2015 was released by ____,International Labour Organization (ILO),International Monetary Fund (IMF),International Organization for Migration (IOM),World Bank,b) International Monetary Fund (IMF),cur,hard
384,"Which country introduced resolution 2250 (2015) on youth, peace and security that was adopted by UN security on 9 Dec 2015?",Berlin,Japan,Jordan,Germany,Jordan,cur,hard
385,Which country was identified as world�s top exporter of illicit money by the Global Financial Integrity?,Japan,Korea,China,Russia,China,cur,hard
386,Railway Minister flagged off first double decker Goa � Mumbai train on ___ .,5-Dec-15,6-Dec-15,10-Dec-15,11-Dec-15,6-Dec-15,cur,hard
387,Name the two persons who won 2016 Queen's Young Leaders Award,Kartik Sawhney and Neha Swain,Sendhil Mullainathan and Mark Zuckerberg,Alok Kshirsagar and Chhavi Rajawat,Deepinder Hooda and Jyotiradita Scindia,Kartik Sawhney and Neha Swain,cur,hard
388,"On 22 Oct 2015, World Bank has announced that _____ became the World's largest remittance recipient.",China,Britain,England,India,India,cur,hard
389,Which of the following two countries began Joint Naval Exercise SLINEX 2015?,India and Syria,Poland and Serbia,India and Srilanka,India and Sudan,India and Srilanka,cur,hard
390,The first women President of Nepal is ____.,Judith Weir,Bidhya Devi Bhandari,Jeanine Tesori,Audra McDonald,Bidhya Devi Bhandari,cur,hard
391,Who has won Silver in men's club throw F51 event of IPC Altheletics World Championships 2015?,Zeljko Dimitrijevic,Amit Kumar Saroha,Milos Mitic,Devendra Jhajharia,Amit Kumar Saroha,cur,hard
392,Name the two public sector banks of which private sector professionals were appointed as head.,Bank of Baroda and Canara Bank,Allahabad Bank and State Bank of India,Vijaya Bank and Canara Bank,Bank of India and UCO Bank,Bank of India and UCO Bank,cur,hard
393,Name the Cricket player who received Arjuna Award 2015.,Yusuf Pathan,Murali Vijay,Virat Kohli,Rohit Sharma,Rohit Sharma,cur,hard
394,__________ became India's first woman to play in English league football.,Anjana Saikia,Aditi Chauhan,Upamati Devi,Manisha Panna,Aditi Chauhan,cur,hard
395,The sixth president of IAAF is _____.,Primo Nebiolo,Lamine Diack,Lord Sebastian Coe,Adriaan Paulen,Lord Sebastian Coe,cur,hard
396,World Humanitarian Day was observed on ______.,10-Aug-15,20-Aug-15,9-Aug-15,19-Aug-15,19-Aug-15,cur,hard
397,Which was The first to receive funds from UN for Solar Home Systems is ____.,Maharashtra,Assam,Bangladesh,West Bengal,Bangladesh,cur,hard
398,Which of following statement is correct about the First Buddhist Council?,First Buddhist Council of held in Pataliputra,First Buddhist Council was held in Rajgriha and patronized by Ajatasatru,First Buddhist Council was held in Kashmir and patronized by Kanishka,First Buddhist Council was held in Kashmir and patronized by Ajatasatru,First Buddhist Council was held in Rajgriha and patronized by Ajatasatru,cur,hard
399,Which of following statement is correct about the spread of Jainism?,Both Men and women were admitted to spread Jainism,Only Men were allowed to spread the Jain religion,Only Women were allowed to spread the Jain religion,It was successful in attracting the huge masses,Both Men and women were admitted to spread Jainism,cur,hard
400,Consider the statements about the Buddhism I. Earlier women were not allowed in spread of Buddhism but later on they were allowed II.People were admitted to Buddhism without any caste consideration III.Buddhism was liberal and democratic Which of above statement is/are true about the Buddhism?,I Only,II only,I and II,"I, II and III","I, II and III",cur,hard
401,Main reason behind the Surat Split was:,Differences between the Moderate and extremist over the spreading the movement of anti- Bengal Partition to rest of India,Moderate did not want to confine the movement to Bengal,Extremist wanted to confine anti-partition movement to Bengal,None of the above,Differences between the Moderate and extremist over the spreading the movement of anti- Bengal Partition to rest of India,cur,hard
402,In which year Dacca Anushilan Samiti was founded?,1905,1907,1902,1912,1905,cur,hard
403,Which of following statement is/are correct about the Home Rule Movement,Idea of Home Rule was suggested by the Anne Besant in Bombay session in 1915.,"During this movement, Tilak gave statement that � Swaraj is my Birthright�",Sindhi Community participated for first time in freedom struggle during the Home Rule movement,All of the above,All of the above,cur,hard
404,What was the meaning of NAGARA in Chola Administration,Common settlement for people from all castes,Special Settlement of Brahmins,Settlement of Merchants,None of the above,Settlement of Merchants,cur,hard
405,Which one of the following pairs is not correctly matched?,Pitt�s India Act : Warren Hastings,Doctorine of Lapse : Dalhousie,Vernacular Press Act : Curzon,Ilbert Bill : Ripon,Vernacular Press Act : Curzon,cur,hard
406,The demand for the Tebhaga Peasant Movement in Bengal was for,the reduction of the share of the landlords from one-half of the crop to one-third,the grant of ownership of land to peasants as they were the actual cultivators of the land,the uprooting of Zamindari System and the end of serfdom,writing off all peasant debts,the reduction of the share of the landlords from one-half of the crop to one-third,cur,hard
407,"With reference to Indian History, the Members of the Constituent Assembly from the provinces were",directly elected by the people of those Provinces,Nominated by the Indian National Congress and the Muslim League,elected by the Provincial Legislative Assemblies,selected by the Government for their expertise in constitutional matters,elected by the Provincial Legislative Assemblies,cur,hard
408,Consider the following statements: 1) Robert Clive was the first Governor-General of Bengal. 2) William Bentinck was the first Governor-General of India. Which of the statements given above is/are correct?,Only 1 �� ��� ��� �,Only 2,Both,none,only 2,cur,hard
409,Which of following state is/ are completely lie in Himalayas?,Himachal Pradesh,Sikkim,"Himachal Pradesh , Jammu and Kashmir and Uttarakhand","Himachal Pradesh, Jammu and Kashmir , Sikkim and Arunachal Pradesh","Himachal Pradesh, Jammu and Kashmir , Sikkim and Arunachal Pradesh",cur,hard
410,Water Body that separates India and the Srilanka is,Palk Strait,8 degree channel,Great channel,10 degree channel,Palk Strait,cur,hard
411,Which of following glacier is not located in Karakoram Range?,Siachen,Hipsar,Baltoro,Sonapani,Sonapani,cur,hard
412,Three cities in which one from Punjab and others from Himachal Pradesh are in between two rivers which are tributaries of Indus River.,Ravi & Beas.,Beas & Satluj,Ravi & Satluj,Satluj & Ghaghara,Beas & Satluj,cur,hard
413,Match the following list 1 with list 2 and choose the correct answer from the codes given below List 1 List 2 A. Sonai Rupai I. WestBengal B. Jaldapara II.ArunachalPradesh C. Morleen III. Manipur D. Kaibul Lamjo IV.Mizoram,II I IV III,III I II IV,I II IV III,III IV I II,II I IV III,cur,hard
414,"Moving towards south from the north, which of the following is the correct sequence of regions one came across","Bist doab, bari doab, malwa plains, bhiwani sagar","bari doab, bhiwani sagar, malwa plains, Bist doab","bari doab, bist doab, malwa plains , bhiwani bagar","bhiwani bagar, malwa plains, bist doab, bari doab","bari doab, bist doab, malwa plains , bhiwani bagar",cur,hard
415,Read the following sentences carefully I. The range is spread over two states which lies on tropic of cancer. II. Sanjay Gandhi wildlife sanctuary is situated near the range Identify the highest peak of the range:,Deogarh,Bahmangarh,Amarkantak,Tulasi,Deogarh,cur,hard
416,Which of following can be used for controlling Gaseous Pollutant?,Arrestor,Incineration,Absorption,None of above,Absorption,cur,hard
417,What does the high Biological Oxygen Demand (BOD) indicates?,High level of Microbial Pollution,Low level of Microbial Pollution,Absence of Microbial Pollution,Water is fully pure,High level of Microbial Pollution,cur,hard
418,What percent of area in the plain should be under forest?,21%,25%,17%,33%,33%,cur,hard
419,Biodiversity Hotspot are characterized on the basis of:,Endemic flowering plant and threat perception,Endemic flowering plant,Species of flowering plants,none of the above,Endemic flowering plant and threat perception,cur,hard
